MIN,FGM,FGA,FTM,FTA,EFF,TOV,AST,FG3A,FG3M,DREB
26.8,4.3,10.5,0.5,0.667,10.5,0.767,1.467,7.7,2.9,2.933
25.467,5.067,11.2,2.0,2.333,13.933,1.867,3.967,5.633,2.1,2.567
19.1,1.7,3.7,0.7,1.0,9.6,1.0,2.1,2.3,1.0,3.4
27.25,4.5,10.05,1.15,1.45,11.9,0.95,1.4,4.95,2.1,3.5
19.0,3.1,7.2,0.8,0.9,8.6,1.3,3.3,3.4,1.3,1.6
32.2,4.15,10.0,1.7,2.2,14.65,2.25,6.1,5.35,1.8,2.8
29.6,5.8,11.3,1.9,2.4,17.1,2.3,5.7,1.5,0.5,2.8
19.7,2.5,6.2,0.6,0.8,8.1,0.9,1.2,3.4,1.1,3.6
25.8,3.733,5.767,1.8,3.1,17.667,1.6,3.267,0.033,0.0,6.0
21.325,1.825,4.175,0.3,0.45,7.375,0.5,1.05,2.525,0.85,1.525
14.1,1.5,3.6,0.5,0.7,5.1,0.5,0.9,1.8,0.6,1.9
27.9,4.033,9.533,0.9,1.1,11.667,1.1,2.5,6.767,2.533,3.033
24.6,2.4,6.0,0.8,1.1,10.8,0.8,1.2,4.3,1.4,4.7
30.667,6.7,13.3,1.433,1.833,18.733,1.167,1.2,6.8,2.833,5.333
34.475,6.15,12.725,2.5,2.975,17.425,1.275,2.825,5.175,2.0,3.4
29.3,4.55,10.275,1.9,2.275,16.05,1.6,5.975,5.725,2.35,2.45
15.0,2.1,4.6,0.6,0.8,7.6,0.4,0.8,3.3,1.3,2.6
16.7,1.5,4.1,0.2,0.2,5.0,0.4,0.8,3.0,1.0,2.1
34.067,6.767,14.033,2.433,3.0,19.733,1.833,3.1,5.567,2.0,5.667
19.5,3.0,6.7,0.6,0.7,8.0,0.4,1.7,3.9,1.6,1.0
26.3,3.4,4.75,1.1,2.3,17.1,0.75,0.7,0.0,0.0,4.7
9.6,0.6,1.8,0.1,0.1,2.9,0.3,0.5,1.6,0.6,1.1
25.7,4.2,8.7,0.8,1.0,16.3,1.1,1.2,4.0,1.5,6.0
28.65,4.5,9.3,1.0,1.15,14.4,1.0,4.85,3.75,1.5,2.85
23.0,5.2,8.25,2.8,3.95,17.0,1.05,1.55,0.15,0.05,3.95
